description,entry
Words derived from Sinitic cha,Tea 1
NegV,Order of Negative Morpheme and Verb 1
NegV,Preverbal Negative Morphemes 1
None,Postverbal Negative Morphemes 4
None,Minor morphological means of signaling negation 4
SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb 2"
Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 3
SNegVO,The Position of Negative Morphemes in SVO Languages 2
No NegSVO,NegSVO Order 4
Word&NoDoubleNeg,SNegVO Order 1
No SVNegO,SVNegO Order 7
No SVONeg,SVONeg Order 4
